#         t  ASAM_gal1  ASAM_gal2  ASAM_remnant
      0.000   3334.833   3571.535   3453.152
     71.429   3308.330   3497.148   3402.547
    142.857   3224.411   3513.088   3366.720
    214.286   3323.007   3527.530   3424.778
    285.714   3317.254   3544.336   3428.099
    357.143   3282.646   3570.465   3424.478
    428.571   3316.500   3605.421   3460.206
    500.000   3293.020   3595.871   3441.872
    571.429   3227.728   3618.389   3422.365
    642.857   3299.650   3594.690   3448.523
    714.286   3239.874   3573.985   3405.580
    785.714   3378.673   3590.270   3484.338
    857.143   3236.201   3530.872   3380.876
    928.571   3279.658   3599.456   3434.549
   1000.000   3299.907   3517.286   3407.666
   1071.430   3294.128   3631.331   3459.743
   1142.860   3311.937   3651.188   3477.319
   1214.290   3279.686   3630.223   3451.768
   1285.710   3327.479   3623.084   3474.646
   1357.140   3321.027   3575.443   3448.294
   1428.570   3334.866   3621.137   3478.203
   1500.000   3234.685   3555.381   3392.779
   1571.430   3231.354   3577.136   3401.181
   1642.860   3374.675   3627.479   3500.111
   1714.290   3291.685   3586.965   3438.168
   1785.710   3311.340   3623.204   3467.712
   1857.140   3286.843   3612.718   3444.660
   1928.570   3277.291   3601.866   3440.104
   2000.000   3296.865   3520.272   3408.153
   2071.430   3324.820   3528.668   3423.823
   2142.860   3256.811   3609.755   3431.800
   2214.290   3324.913   3601.619   3461.521
   2285.710   3354.768   3543.126   3447.885
   2357.140   3290.453   3547.939   3415.338
   2428.570   3333.728   3468.157   3399.156
   2500.000   3305.623   3539.625   3421.754
   2571.430   3338.757   3564.462   3446.243
   2642.860   3306.176   3487.811   3395.870
   2714.290   3327.755   3487.411   3405.985
   2785.710   3322.480   3544.299   3429.267
   2857.140   3316.385   3522.526   3415.874
   2928.570   3317.416   3603.312   3458.220
   3000.000   3255.185   3534.609   3394.119
   3071.430   3309.275   3553.598   3428.317
   3142.860   3380.083   3540.051   3459.292
   3214.290   3275.022   3586.557   3426.402
   3285.710   3356.420   3520.916   3437.858
   3357.140   3370.201   3513.625   3441.087
   3428.570   3329.399   3541.403   3433.611
   3500.000   3319.160   3571.149   3443.453
   3571.430   3321.363   3545.732   3433.921
   3642.860   3322.641   3528.793   3423.391
   3714.290   3328.495   3594.578   3459.185
   3785.710   3430.666   3621.628   3521.961
   3857.140   3447.777   3677.146   3559.606
   3928.570   3625.398   3755.122   3688.404
   4000.000   4175.874   4047.852   4112.198
   4071.430   4305.165   4405.790   4354.034
   4142.860   4079.901   4360.485   4219.718
   4214.290   3868.540   4063.976   3964.594
   4285.710   3619.771   3831.076   3725.348
   4357.140   3456.777   3783.679   3621.798
   4428.570   3230.930   3614.414   3425.609
   4500.000   3162.730   3472.644   3322.729
   4571.430   3031.349   3322.823   3177.679
   4642.860   3028.561   3338.250   3189.086
   4714.290   2977.752   3302.210   3140.139
   4785.710   2871.998   3169.899   3021.629
   4857.140   2789.638   3255.033   3026.276
   4928.570   2864.055   3129.168   3000.664
   5000.000   2841.692   3150.309   3001.218
   5071.430   2843.146   3215.895   3028.325
   5142.860   2894.989   3114.005   3003.850
   5214.290   2887.985   3174.705   3032.717
   5285.710   2959.254   3203.825   3079.987
   5357.140   2983.112   3221.399   3099.263
   5428.570   2923.957   3131.824   3024.338
   5500.000   2898.718   3125.641   3011.940
   5571.430   3064.175   3220.561   3142.451
   5642.860   3010.410   3140.993   3076.421
   5714.290   2907.679   3245.503   3080.736
   5785.710   3061.988   3358.423   3213.813
   5857.140   3991.589   3947.905   3969.107
   5928.570   4083.755   4162.378   4123.556
   6000.000   4289.361   4424.657   4362.654
   6071.430   4338.330   4363.362   4352.143
   6142.860   4052.153   4291.024   4184.954
   6214.290   4630.564   4322.345   4457.428
   6285.710   3834.845   4240.982   4056.489
   6357.140   4107.939   4174.260   4143.951
   6428.570   4266.234   4054.176   4146.777
   6500.000   4162.836   3937.332   4038.101
   6571.430   4015.598   3965.173   3988.045
   6642.860   3960.303   3949.975   3954.595
   6714.290   4119.785   3860.863   3972.856
   6785.710   4077.450   3927.264   3991.141
   6857.140   3934.872   3956.203   3946.924
   6928.570   4172.433   3963.701   4053.664
   7000.000   4187.073   4115.276   4147.040
   7071.430   4106.899   4139.204   4124.801
   7142.860   4098.417   3970.858   4025.547
   7214.290   4260.644   4033.440   4134.086
   7285.710   4250.723   4006.839   4115.139
   7357.140   4154.645   4021.757   4082.111
   7428.570   4253.170   3945.692   4083.517
   7500.000   4231.295   4002.905   4106.090
   7571.430   4179.933   3975.194   4063.880
   7642.860   4100.120   4108.925   4104.956
   7714.290   4114.028   3972.584   4035.345
   7785.710   4138.887   4119.340   4128.154
   7857.140   4067.092   3928.535   3989.889
   7928.570   4092.454   4041.773   4063.981
   8000.000   4156.229   4002.257   4070.423
   8071.430   4183.758   3993.433   4074.717
   8142.860   4194.557   4045.494   4112.417
   8214.290   4097.212   4042.585   4066.128
   8285.710   4083.909   4030.730   4053.845
   8357.140   4170.878   4150.135   4159.554
   8428.570   4281.507   4044.997   4153.027
   8500.000   4229.677   4059.270   4138.489
   8571.430   4112.281   4144.997   4130.212
   8642.860   4217.981   3999.745   4096.558
   8714.290   4191.312   4028.435   4102.789
   8785.710   4241.562   4066.903   4144.834
   8857.140   4170.868   4167.592   4169.039
   8928.570   4345.816   4088.580   4200.225
   9000.000   4291.482   4004.105   4135.669
   9071.430   4173.384   4018.569   4084.821
   9142.860   4152.390   4074.686   4108.947
   9214.290   4128.204   4052.511   4086.421
   9285.710   4176.363   4057.189   4110.613
   9357.140   4320.186   4101.522   4196.685
   9428.570   4338.198   4002.581   4154.351
   9500.000   4397.038   4090.438   4223.004
   9571.430   4354.818   4115.982   4221.762
   9642.860   4364.834   4171.459   4257.180
   9714.290   4232.293   4070.526   4141.787
   9785.710   4151.360   4101.248   4123.066
   9857.140   4301.981   4062.895   4169.892
   9928.570   4189.042   4269.897   4233.796
  10000.000   4152.799   4154.090   4153.496
  10071.400   4271.671   4197.630   4231.691
  10142.900   4237.436   4185.086   4207.945
  10214.300   4247.284   4071.333   4149.201
  10285.700   4331.892   4108.603   4206.902
  10357.100   4381.714   4081.021   4213.228
  10428.600   4367.546   4037.159   4187.321
  10500.000   4256.183   4099.022   4168.442
  10571.400   4168.843   4120.908   4142.185
  10642.900   4131.877   4135.320   4133.821
  10714.300   4291.962   4096.964   4182.418
  10785.700   4253.935   4061.673   4147.335
  10857.100   4214.676   4037.663   4114.666
  10928.600   4267.624   4158.741   4205.295
  11000.000   4284.561   4145.220   4207.914
  11071.400   4274.229   4152.973   4205.728
  11142.900   4202.564   4053.556   4117.800
  11214.300   4219.105   4094.504   4150.702
  11285.700   4153.918   3983.049   4057.901
  11357.100   4394.947   4143.168   4251.542
